Tanggal,Customer,Kota,Nama Produk,Jumlah Terjual,Harga Satuan,Total Harga,Bulan
2025-05-07,KADAR BUDI**,KROYA,ACR BUKA-TUTUP+RANTAI,6,35300,211800,2025-05
2025-05-07,KADAR BUDI**,KROYA,ACRILIC BUKA-TUTUP FORMAL,6,35300,211800,2025-05
2025-05-07,KADAR BUDI**,KROYA,ACR.ALAS KAKI HRP DILEPAS,6,15000,90000,2025-05
2025-05-07,KADAR BUDI**,KROYA,ACR.PINTU HRP DITTUP KMBLI,6,15000,90000,2025-05
2025-05-07,KADAR BUDI**,KROYA,STAND UP SIGN HOLDER A5,6,44700,268200,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC TOILET,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR. OPEN-CLOSE+RANTAI,3,35300,105900,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR. DILARANG.P.DPINTU,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR. JAGALAH KEBERSIHAN,6,15000,90000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC ANAK PANAH [SET],3,18500,55500,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC GESER [SET],3,18500,55500,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC BUKA-TUTUP FORMAL,3,35300,105900,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC OPEN-CLOSE FORMAL,3,35300,105900,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC ARAH KIBLAT,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC STAFF ONLY,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,AC SELAIN KRYWN DILRG MSK,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR.ALAS KAKI HRP DILEPAS,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC AWAS KACA,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR.D.MEROKOK/NO SMOKING,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC OFFICE/KANTOR,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC KASIR,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC FREE- WIFI,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR. DILARANG MEMOTRET,3,13600,40800,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR BUANG SMPAH PD TMPT,3,15000,45000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACR APAR FIRE EXTING 10X15,3,13600,40800,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC T/D PUSH PULL [SET],3,18500,55500,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC CCTV 20 X 15,6,21700,130200,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,DILRG BUANG SMPH TOILET 10X15,3,13600,40800,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE 7 X 10,6,12000,72000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE 7 X 15,6,17000,102000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE 7X20,6,20800,124800,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE 7  X 25,6,25500,153000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE LEAN 7X10,6,10500,63000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE LEAN 7X15,6,14000,84000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE LEAN 7X30,6,23000,138000,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,ACRILIC NAME PLATE LEAN 7X20,6,19700,118200,2025-05
2025-05-07,JAVA ATEKA,PURWOKERTO,STAND UP SIGN HOLDER 10X12,6,23000,138000,2025-05
2025-05-06,PUAS TOKO PATI **,PATI,STAND UP SIGN HOLDER 10X12,24,23000,552000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,PAPAN METERAN MDF BOYKO,12,16000,192000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,BOYKO DB WALL A5,12,26400,316800,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,BOYKO D. BROSUR A5 + DECOVIL,6,24500,147000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,BOYKO DESK SET 118,6,14400,86400,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,DESKSET 180 ABS PEACH,6,15500,93000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE OPEN-CLOSE RANTAI,3,26000,78000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE BUKA-TUTUP RANTAI,6,26000,156000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE KASIR,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE JAGALAH KEBERSIHAN,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE SELAIN KRYWN,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE TOLIET T/D,9,7500,67500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BE TARIK DORONG,9,13500,121500,2025-05
